Year,Rk,Player,Team,GP,W,L,Min,Dist_FT,Dist_Miles,Dist_Miles_off,Dist_Miles_def,avg_speed,avg_speed_off,avg_speed_def
2018,,Milton Doyle,BKN,10,2,8,12.4,4847.1,0.92,0.51,0.4,4.45,4.7,4.06
2018,,Milos Teodosic,LAC,45,29,16,25.2,9552.9,1.81,0.97,0.84,4.32,4.76,3.91
2018,,Miles Plumlee,ATL,55,19,36,16.7,6508.5,1.23,0.69,0.55,4.48,4.89,4.06
2018,,Mike Scott,WAS,76,39,37,18.5,7115,1.35,0.73,0.61,4.42,4.81,4.04
2018,,Mike Muscala,ATL,53,14,39,20,8095.9,1.53,0.84,0.69,4.64,5.02,4.24
2018,,Mike James,NOP,36,11,25,19.1,7536.7,1.43,0.77,0.66,4.51,4.85,4.14
2018,,Mike Conley,MEM,12,7,5,31.1,11631.1,2.2,1.21,0.99,4.25,4.64,3.87
2018,,Michael Kidd-Gilchrist,CHA,74,34,40,25,9948.2,1.88,0.97,0.92,4.53,4.62,4.43
2018,,Michael Carter-Williams,CHA,52,23,29,16.1,6433.2,1.22,0.66,0.55,4.58,4.81,4.32
2018,,Michael Beasley,NYK,73,23,50,22.1,8156.3,1.54,0.82,0.72,4.24,4.48,4
2018,,Meyers Leonard,POR,33,17,16,7.7,2796,0.53,0.29,0.24,4.16,4.31,3.98
2018,,Maxi Kleber,DAL,72,20,52,16.8,6236.1,1.18,0.63,0.55,4.25,4.39,4.12
2018,,Maurice Harkless,POR,59,36,23,21.4,8185.2,1.55,0.83,0.72,4.4,4.56,4.21
2018,,Matthew Dellavedova,MIL,37,21,16,18.7,7106.8,1.35,0.72,0.62,4.34,4.8,3.9
2018,,Matt Williams Jr.,MIA,3,1,2,3.8,1389.7,0.26,0.13,0.13,4.22,4.56,3.93
2018,,Matt Costello,SAS,4,2,2,8.1,3106.8,0.59,0.3,0.29,4.48,4.74,4.25
2018,,Mason Plumlee,DEN,74,40,34,19.4,7173.8,1.36,0.72,0.64,4.26,4.55,3.98
2018,,Marvin Williams,CHA,78,33,45,25.7,9809.9,1.86,1.02,0.84,4.35,4.76,3.93
2018,,Marshall Plumlee,MIL,8,5,3,6.5,2519.3,0.48,0.26,0.22,4.43,4.73,4.1
2018,,Marreese Speights,ORL,52,15,37,13,4228.9,0.8,0.42,0.38,3.71,3.88,3.56
2018,,Marquis Teague,MEM,3,0,3,24.6,8686.3,1.65,0.92,0.72,4,4.55,3.6
2018,,Marquese Chriss,PHX,72,19,53,21.2,8106.2,1.54,0.83,0.7,4.35,4.81,3.92
2018,,Markieff Morris,WAS,73,37,36,27,9188.4,1.74,0.91,0.83,3.89,4.04,3.74
2018,,Markelle Fultz,PHI,14,11,3,18.1,7396.1,1.4,0.76,0.64,4.67,5.07,4.27
2018,,Markel Brown,HOU,4,4,0,7.9,3063,0.58,0.3,0.28,4.39,4.42,4.37
2018,,Mario Hezonja,ORL,75,21,54,22.1,8259.7,1.56,0.85,0.72,4.29,4.63,3.95
2018,,Mario Chalmers,MEM,66,21,45,21.5,7854.1,1.49,0.84,0.65,4.16,4.59,3.71
2018,,Marcus Smart,BOS,51,35,16,30.1,10837.5,2.05,1.09,0.96,4.1,4.36,3.83
2018,,Marcus Paige,CHA,5,4,1,5.6,2109.8,0.4,0.23,0.17,4.29,4.45,4.12
2018,,Marcus Morris,BOS,52,32,20,26.8,9677.3,1.83,1,0.83,4.12,4.41,3.82
2018,,Marcus Georges-Hunt,MIN,42,24,18,5.3,1910.2,0.36,0.18,0.18,4.09,4.05,4.14
2018,,Marco Belinelli,PHI,79,39,40,24.3,9545.4,1.81,1,0.81,4.47,5.01,3.95
2018,,Marcin Gortat,WAS,82,43,39,25.3,9487.4,1.8,0.95,0.85,4.28,4.5,4.06
2018,,Marc Gasol,MEM,73,21,52,33,10781.3,2.04,1.13,0.92,3.74,3.98,3.47
2018,,MarShon Brooks,MEM,7,2,5,27.5,10125.6,1.92,1.04,0.88,4.18,4.37,3.99
2018,,Manu Ginobili,SAS,65,39,26,20,7363.5,1.39,0.77,0.62,4.2,4.52,3.86
2018,,Mangok Mathiang,CHA,4,3,1,5,1933.3,0.37,0.21,0.15,4.59,4.51,4.01
2018,,Malik Monk,CHA,63,26,37,13.6,5359.9,1.02,0.55,0.46,4.52,4.84,4.18
2018,,Malik Beasley,DEN,62,34,28,9.4,3659.1,0.69,0.37,0.33,4.48,4.78,4.18
2018,,Malcolm Miller,TOR,15,15,0,8.4,3478.8,0.66,0.36,0.3,4.74,4.89,4.58
2018,,Malcolm Delaney,ATL,53,16,37,18.7,6922.2,1.31,0.71,0.6,4.23,4.57,3.89
2018,,Malcolm Brogdon,MIL,47,25,22,29.8,11227.6,2.13,1.12,1.01,4.29,4.67,3.93
2018,,Malachi Richardson,TOR,26,8,18,12.4,4506.3,0.85,0.46,0.39,4.13,4.37,3.84
2018,,Luol Deng,LAL,1,0,1,13.1,5284,1,0.49,0.51,4.61,4.9,4.35
2018,,Luke Kornet,NYK,20,6,14,16.3,6376.8,1.21,0.67,0.54,4.46,4.89,3.99
2018,,Luke Kennard,DET,73,34,39,20,7799.3,1.48,0.81,0.67,4.47,4.89,4.06
